dates,number_of_marriage
2023-11-19,9
2018-11-18,5
2020-02-23,11
2023-09-23,9
2023-09-08,12
2022-08-03,7
2021-10-02,12
2023-06-04,6
2018-02-19,7
2020-11-14,11
2022-10-03,18
2018-11-19,7
2020-06-07,5
2018-07-25,12
2023-01-17,5
2021-05-03,8
2020-05-27,10
2023-07-27,9
2023-01-29,7
2020-11-10,4
2023-06-27,10
2019-10-16,9
2021-02-13,13
2023-06-29,8
2023-08-22,12
2018-04-15,11
2019-11-07,1
2018-08-04,5
2021-09-22,11
2022-04-10,6
2018-08-21,8
2020-01-17,4
2022-09-11,10
2020-12-10,7
2021-10-11,7
2022-03-04,9
2021-08-25,13
2021-08-23,13
2018-10-11,6
2020-11-28,13
2022-10-20,14
2021-02-13,9
2023-03-25,6
2023-02-28,7
2020-02-10,9
2019-01-13,8
2018-09-23,12
2021-09-15,10
2021-10-03,6
2020-10-11,11
2021-08-09,8
2021-07-27,15
2018-11-23,11
2022-12-17,11
2020-02-13,10
2019-04-14,8
2020-04-25,9
2019-05-18,8
2021-10-11,8
2019-09-30,9
2020-01-08,15
2022-09-03,5
2018-01-08,16
2019-09-19,10
2019-01-30,6
2019-06-06,18
2019-04-29,7
2020-03-26,13
2022-02-14,5
2019-09-13,12
2020-09-06,13
2023-07-30,10
2019-11-26,7
2019-08-31,6
2021-08-09,7
2019-12-11,9
2022-09-02,9
2018-04-27,5
2021-08-26,9
2020-03-26,9
2022-04-24,9
2019-11-14,8
2023-04-26,11
2019-05-26,9
2022-06-26,7
2022-09-27,7
2020-08-09,7
2023-11-09,14
2019-05-16,8
2018-04-02,8
2021-02-21,4
2023-03-11,12
2018-05-15,7
2022-02-02,8
2022-04-14,8
2019-11-01,9
2020-02-11,13
2021-10-29,7
2021-03-29,8
2019-07-10,9
